Branch;Line
80.65;91.51
77.78;76.3
79.31;83.75
100.00;100.00
100.00;100.00
97.37;92.79
90.91;98.08
83.33;89.83
100.00;100.00
100.00;100.00
100.00;100.00
91.67;97.78
94.44;99.11
97.22;91.75
100.00;100.00
92.31;94.83
91.67;93.94
100.00;100.00
83.33;91.89
100.00;100.00
100.00;100.00
